,diện,tích,căn,hộ,chung,cư,phải,rộng,50,m2,trở,lên,các,quy,định,mới,của,dự,thảo,tiêu,chuẩn,thiết,kế,nhà,ở,cao,tầng,là,vấn,đề,được,quan,tâm,nhiều,nhất,tại,hội,kiểm,chất,lượng,hôm,qua,theo,ông,nguyễn,việt,châu,viện,trưởng,nghiên,cứu,kiến,trúc,án,đảm,bảo,mật,độ,xây,dựng,30,40,khoảng,cách,giữa,toà,thấp,25,m,hệ,số,sử,dụng,đất,từ,3,0,đến,5,yêu,cầu,về,phòng,chữa,cháy,chiếu,sáng,thông,gió,trong,một,tính,tới,chức,năng,không,gian,như,khách,ngủ,ăn,bếp,tắm,chỗ,làm,việc,học,tập,thờ,cúng,tổ,tiên,giặt,giũ,ban,công,kho,chứa,đồ,để,hạn,chế,tình,trạng,chủ,sở,hữu,thay,đổi,sửa,cũng,đối,với,đặc,biệt,chú,ý,6,chiều,lan,can,nhỏ,hơn,12,mô,đơn,nguyên,4,xung,quanh,thang,bộ,máy,kinh,tế,kỹ,thuật,150,tối,thiểu,2,tỷ,lệ,loại,trung,bình,và,lớn,121,còn,tượng,người,tàn,tật,già,lý,độc,lập,khép,kín,hoà,nhập,ngoài,phù,hợp,nhu,sắp,xếp,khác,nhau,chuyển,linh,hoạt,vệ,sinh,khí,hậu,ra,văn,hoá,giáo,dục,dịch,vụ,nghỉ,ngơi,giải,trí,giao,tĩnh,hoàng,phê,giám,đốc,vinaconex,nhiệm,khu,đô,thị,nhân,chính,cho,rằng,mặc,dù,có,song,cần,mở,phương,tiến,bởi,những,nghệ,sẽ,tiết,kiệm,chi,phí,tăng,hiệu,quả,17,32,thống,anh,ga,đức,đã,mang,lại,tuổi,thọ,giá,thành,chuyên,gia,ngành,thiên,biến,thực,chen,thì,xem,xét,điều,kiện,chứ,đạt,dưới,thứ,liên,bám,sát,tiễn,nam,chưa,ngang,tầm,nước,hiện,phần,ta,chỉ,tòa,dân,70,80,biết,hành,trước,tháng,9
0,0.020840597940202817,0.020840597940202817,0.011103429476536237,0.011103429476536237,0.02939425728187579,0.02543874654685308,0.0075097303121345795,0.026984067239467738,0.01724689877580116,0.020840597940202817,0.020840597940202817,0.020840597940202817,0.0075097303121345795,0.01271937327342654,0.02939425728187579,0.01724689877580116,0.014697128640937895,0.011103429476536237,0.03449379755160232,0.014697128640937895,0.014697128640937895,0.00973716846366658,0.011103429476536237,0.00991992035454263,0.008553659341672973,0.017107318683345946,0.017107318683345946,0.01271937327342654,0.026984067239467738,0.026984067239467738,0.014697128640937895,0.020840597940202817,0.020840597940202817,0.020840597940202817,0.01271937327342654,0.020840597940202817,0.026984067239467738,0.026984067239467738,0.026984067239467738,0.026984067239467738,0.026984067239467738,0.026984067239467738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,0.025719975121641318,0.022258903228496444,0.013142028046235515,,,,,,0.013142028046235515,,,0.030182072857652027,,0.019431001583938415,,,,,,0.008679930310224801,,,,,,,,,,,,,,,,,,,0.022258903228496444,0.03647104639535493,0.03647104639535493,0.03647104639535493,0.047222117669068545,0.09444423533813709,0.030182072857652027,0.03647104639535493,0.03647104639535493,0.047222117669068545,0.047222117669068545,0.025719975121641318,0.025719975121641318,0.025719975121641318,0.030182072857652027,0.030182072857652027,0.025719975121641318,0.025719975121641318,0.047222117669068545,0.030182072857652027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.017522704061647354,,,,,0.025908002111917888,0.040242763810202704,,,,,0.011573240413633067,,,,0.02967853763799526,,,,,,,0.02967853763799526,,,,,,,,0.02967853763799526,,,,,,,,,,,,,,,,,,,,0.06296282355875805,0.06296282355875805,0.048628061860473235,0.048628061860473235,0.048628061860473235,0.06296282355875805,0.048628061860473235,0.03429330016218842,0.03429330016218842,0.03429330016218842,0.03429330016218842,0.048628061860473235,0.03429330016218842,0.06296282355875805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3403964330233127,0.24005310113531897,0.4407397649113064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,0.02628405609247103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051439950243282635,0.051439950243282635,,,,,,,,,,,,,,,,,,,,,0.07294209279070986,,,0.07294209279070986,0.06036414571530405,0.07294209279070986,0.051439950243282635,0.07294209279070986,0.07294209279070986,0.09444423533813709,0.09444423533813709,0.07294209279070986,0.09444423533813709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.013950462675648093,0.013950462675648093,,,0.009435302187040882,,,,,,,,,,,,,,,,,,0.010746905326717326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07386249265702122,,,,,,,0.0159807510358436,0.018465623164255304,0.02166918051318607,0.02166918051318607,0.026184341001793284,0.026184341001793284,0.013950462675648093,0.02166918051318607,0.02166918051318607,0.033903058839331264,0.033903058839331264,0.033903058839331264,0.033903058839331264,0.033903058839331264,0.06780611767866253,0.033903058839331264,0.033903058839331264,0.033903058839331264,0.033903058839331264,0.033903058839331264,0.033903058839331264,0.033903058839331264,0.02166918051318607,0.033903058839331264,0.033903058839331264,0.02166918051318607,0.02166918051318607,0.033903058839331264,0.033903058839331264,0.033903058839331264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.03400425277189223,0.03400425277189223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03895308064986878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06382433119187113,,,,,,,,,,,,,,,,,0.06382433119187113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05281862750089105,0.08263870592086996,0.08263870592086996,0.08263870592086996,0.08263870592086996,0.06382433119187113,0.08263870592086996,0.06382433119187113,0.08263870592086996,0.06382433119187113,0.08263870592086996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,0.010513622436988413,,,,0.029176837116283945,0.029176837116283945,,0.017807122582797156,0.020575980097313054,,,0.015544801267150733,0.024145658286121623,,,0.013632035849133212,0.015544801267150733,0.006943944248179841,0.011975123078342163,0.023950246156684327,0.023950246156684327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029176837116283945,,,,,,0.020575980097313054,,,,,,,,,,,,,,,,,,,,,0.031089602534301465,,,,,,,,,,,,,,,,,,,0.024145658286121623,0.024145658286121623,,,,,,,,,,,,,,,0.029176837116283945,0.029176837116283945,0.037777694135254836,0.037777694135254836,0.037777694135254836,0.037777694135254836,0.037777694135254836,0.029176837116283945,0.037777694135254836,0.037777694135254836,0.037777694135254836,0.029176837116283945,0.029176837116283945,0.037777694135254836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.043525443548022055,0.043525443548022055,,,,,,,,,,0.024929971615916018,,,0.028806372136238278,,,,,,,,,,0.016765172309679027,0.024929971615916018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028806372136238278,,,0.028806372136238278,,,0.033803921600570275,,,,,,,,,0.024929971615916018,0.057612744272476556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04084757196279752,,,,,,,0.052888771789356775,0.052888771789356775,0.04084757196279752,0.052888771789356775,0.052888771789356775,0.052888771789356775,0.10577754357871355,0.028806372136238278,0.052888771789356775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.026184341001793284,0.026184341001793284,0.027900925351296187,0.027900925351296187,,,,,0.02166918051318607,0.026184341001793284,,,0.009435302187040882,,,,,,,,,,,,,,,0.0159807510358436,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018465623164255304,0.018465623164255304,,,,,,,,,0.026184341001793284,,,,,,0.018465623164255304,,,,0.018465623164255304,,,0.018465623164255304,,,,,0.018465623164255304,,,,,,,,,0.02166918051318607,,,,0.013950462675648093,,,,,,,,,,,,,,,,,,,,,,,,0.02166918051318607,,,,,,,,,,,,,,,,,,,,,,0.05236868200358657,0.026184341001793284,,,,,,,,,,,0.02166918051318607,0.018465623164255304,0.033903058839331264,0.033903058839331264,0.033903058839331264,0.033903058839331264,0.033903058839331264,0.033903058839331264,0.033903058839331264,0.033903058839331264,0.033903058839331264,0.02166918051318607,0.033903058839331264,0.02166918051318607,0.026184341001793284,0.033903058839331264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,0.019367199226031286,,,,,,,,,,,,,,,,,0.012791476246647076,0.02205943724957767,0.02205943724957767,0.02205943724957767,0.032802594231468446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03790312123189247,0.03790312123189247,,,,,0.03790312123189247,,,,,,,,,,,,0.032802594231468446,,0.04447884421127667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053746805214207265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06959048919652207,0.06959048919652207,0.13918097839304414,0.06959048919652207,0.06959048919652207,0.06959048919652207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,0.011334750923964076,0.011334750923964076,,,0.007666183026970717,,,,,,0.007666183026970717,,,,,,,,,0.009940026139992966,0.011334750923964076,0.005063292680964468,0.008731860577957827,0.008731860577957827,0.008731860577957827,,,,,0.021274777063957043,,,,,,,,,,,,,,,,,,,,,,,0.03000663764191487,0.03000663764191487,,,,,,,,,,,,,,0.015003318820957436,,,,,,,,,,0.021274777063957043,0.03521241833392737,,,,,,,,,0.012984360216622925,,,,,,0.011334750923964076,0.017606209166963684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021274777063957043,,,,,,,,,,,,,,,,,,0.021274777063957043,,,,,,,,,,,,,,,,,,,,0.03521241833392737,,,,,,,,,0.02754623530695665,0.02754623530695665,0.02754623530695665,0.02754623530695665,0.02754623530695665,0.017606209166963684,0.02754623530695665,0.021274777063957043,0.017606209166963684,0.017606209166963684,0.02754623530695665,0.02754623530695665,0.02754623530695665,0.017606209166963684,0.02754623530695665,0.02754623530695665,0.02754623530695665,0.02754623530695665,0.02754623530695665,0.02754623530695665,0.02754623530695665,0.02754623530695665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,0.0232309452711599,0.020104815819287112,0.011870218880470788,,,,,,0.011870218880470788,,,,,0.017550582075815342,,,,,,0.007839937054396595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0232309452711599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03294159029257865,,,,,,0.03294159029257865,0.03294159029257865,0.035101164151630684,0.05452245419446818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03294159029257865,0.02726122709723409,0.02726122709723409,,,,0.02726122709723409,,,,,,,,,0.042652235313997394,0.03294159029257865,0.042652235313997394,0.042652235313997394,0.042652235313997394,0.042652235313997394,0.042652235313997394,0.042652235313997394,0.042652235313997394,0.042652235313997394,0.042652235313997394,0.042652235313997394,0.042652235313997394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,0.008557599658013823,0.014494169544137219,0.01674789077688272,,,,,,,0.033287529399046216,0.03795823565234482,,,,,,,,,,0.023748588350463676,,,,,,,,,,,0.023748588350463676,,,,,,0.023748588350463676,0.023748588350463676,,,0.01674789077688272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01965344279102923,,,,,,,,0.01965344279102923,,,,,0.023748588350463676,,0.023748588350463676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03930688558205846,,,,,,,,,,,,,,,,0.01965344279102923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030749285924044634,0.030749285924044634,0.030749285924044634,0.030749285924044634,0.030749285924044634,0.030749285924044634,0.01674789077688272,0.023748588350463676,0.023748588350463676,0.023748588350463676,0.023748588350463676,0.03930688558205846,0.023748588350463676,0.030749285924044634,0.030749285924044634,0.023748588350463676,0.030749285924044634,0.023748588350463676,0.030749285924044634,0.030749285924044634,0.023748588350463676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,0.05633986933428379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05633986933428379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05633986933428379,0.048010620227063795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08814795298226129,0.08814795298226129,0.08814795298226129,0.06807928660466253,0.08814795298226129,0.08814795298226129,0.08814795298226129,0.08814795298226129,0.08814795298226129,0.06807928660466253,0.06807928660466253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,0.02182300919411991,,,0.04364601838823982,0.04364601838823982,,,0.007364789354130135,,,0.012700888113393203,,,,0.02182300919411991,,,0.03094513027484661,,0.03094513027484661,,,,,,,0.01888634213326971,,,,,,,,,,,,,,,,,,,,,,,0.03094513027484661,,,,0.04364601838823982,,0.02182300919411991,0.02182300919411991,,,,,,,,,,0.02182300919411991,,0.03094513027484661,,,,,,,,,,,,,0.025609031515583542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025609031515583542,,,,,,,,,,,,,,,,0.025609031515583542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02182300919411991,0.03094513027484661,0.03094513027484661,0.03094513027484661,0.03094513027484661,,,,,,,,,,,,,,,,,,,,,,0.04006725135557331,0.04006725135557331,0.08013450271114662,0.04006725135557331,0.04006725135557331,0.04006725135557331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,0.03224071598015198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07855302300537985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06500754153955822,0.05539686949276592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07855302300537985,0.07855302300537985,,,,,,,0.1017091765179938,0.1017091765179938,0.1017091765179938,0.1017091765179938,0.1017091765179938,0.1017091765179938,0.1017091765179938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,0.012634373743964155,0.010934198077156147,0.006455733075343762,,,,,,,,,,0.012634373743964155,,,0.012634373743964155,0.012634373743964155,0.00837054832841513,,0.0042638254155490255,,,,,,,0.012634373743964155,,,,0.010934198077156147,,,,,,,,0.010934198077156147,,,,,,,,,,,,,,0.014826281403758891,0.014826281403758891,0.03790312123189247,0.02526874748792831,,0.014826281403758891,,,,,,,,0.012634373743964155,0.02526874748792831,0.012634373743964155,0.012634373743964155,0.035831203476138176,,,,,,,,,,,,,,,,,0.012634373743964155,,,,,0.009545053409653958,,0.014826281403758891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017915601738069088,,,,,,,,,,,,,,,,,,,,,0.012634373743964155,,,0.012634373743964155,,,,,,,,,,,,0.014826281403758891,,,,,,,,,,,,,,,,,0.014826281403758891,0.014826281403758891,,,,0.014826281403758891,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012634373743964155,,,,,0.029652562807517782,0.017915601738069088,,,,,0.035831203476138176,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02319682973217402,0.02319682973217402,0.02319682973217402,0.02319682973217402,0.02319682973217402,0.017915601738069088,0.017915601738069088,0.02319682973217402,0.02319682973217402,0.02319682973217402,0.02319682973217402,0.02319682973217402,0.02319682973217402,0.017915601738069088,0.02319682973217402,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,0.010221577369294289,0.01731248028883057,0.020004425094609913,,,,,,,0.026506736373314577,0.0151130012319521,0.013502113815905246,0.02328496154122087,0.011642480770610435,0.011642480770610435,,,,,,,,0.01731248028883057,,,,,,,,0.01731248028883057,,0.02836636941860939,0.02836636941860939,,,0.023474945555951577,,,,,,,,,,0.040008850189219826,0.040008850189219826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023474945555951577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020004425094609913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02836636941860939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02836636941860939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02836636941860939,,,,,,,,,,0.02836636941860939,0.03672831374260887,0.03672831374260887,0.03672831374260887,0.03672831374260887,0.03672831374260887,0.03672831374260887,0.03672831374260887,0.03672831374260887,0.02836636941860939,,,,,,,,,,,,,
19,,,,,,0.017807122582797156,,,0.024145658286121623,,,,0.010513622436988413,,,,,0.015544801267150733,,,,,,0.013887888496359682,0.011975123078342163,0.011975123078342163,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020575980097313054,,,0.04829131657224325,0.04829131657224325,0.04115196019462611,0.020575980097313054,,0.024145658286121623,,,,,,,,,0.020575980097313054,,,,,,,,,,,,,,,,,,,0.017807122582797156,0.020575980097313054,,0.024145658286121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029176837116283945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020575980097313054,,,,,,,,,0.029176837116283945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029176837116283945,,,,,,,0.029176837116283945,,,,,,,,,,,0.029176837116283945,0.037777694135254836,0.037777694135254836,0.037777694135254836,0.037777694135254836,0.037777694135254836,0.037777694135254836,0.037777694135254836,0.037777694135254836,,,,,
20,,,,,,,,,,,,,,,,,,,,0.03429330016218842,0.03429330016218842,0.022720059748555354,0.025908002111917888,0.011573240413633067,0.019958538463903604,0.019958538463903604,0.019958538463903604,,,,0.03429330016218842,,,,,,,,,,,,,,,,,,0.040242763810202704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040242763810202704,,,,,,,,,,,,,,,,,,,,,,0.040242763810202704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03429330016218842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040242763810202704,,,,,,,,,,,,,0.048628061860473235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048628061860473235,,,,,,,,,,,,,,,,,,0.06296282355875805,0.06296282355875805,0.06296282355875805,0.06296282355875805,0.06296282355875805
